NODE,AkcanSa,Al Sabaa Chekka Cement Plant,Alicante,Ancona,Ashdod,Augusta,Banghazi,Botas,Bur Sa'id,Casalborsetti,Civitavecchia,Crotone,Darnah,Egyptian LNG Terminal,Fos,FÁBRICA DE CARBONERAS (LAFARGEHOLCIM ESPAÑA SAU),Genova,"HERACLES G.C.Co, VOLOS PLANT",Isdemir Payas steel plant,Izmir,Kavala,Khoms,Koromacno,Kusadasi,Libyan Iron and Steel Misrata plant,Malaga,Megara Oil Terminal,Mersin,Monfalcone,Napoli,Nemrut Limani Bay,Palma De Mallorca,Port-La-Nouvelle,Porto Di Barletta,Porto Di Lido-Venezia,Porto Di Palermo,Porto Romano,Pozzallo,Sagunto,Sibenik,TITAN CEMENT S.A. - DREPANO PLANT,Taranto,Tarragona,Tartus,Tasucu,Thessaloniki,Toulon,Trieste,"VASSILIKO CEMENT WORKS PUBLIC COMPANY LTD, Vassilikos Plant"
Kusadasi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.3944,1636.5321,0.0,1061.402,0.0,1006.0293,0.0,0.0,0.0,0.0,0.0,0.0,466.2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1414.9465,0.0,0.0,2493.0216,0.0,0.0,0.0,0.0,0.0,0.0
Libyan Iron and Steel Misrata plant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1705.9313,1730.529,0.0,845.5359,0.0,1502.5152,0.0,0.0,0.0,0.0,0.0,0.0,1477.2442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1508.9434,0.0,0.0,1658.4135,0.0,0.0,0.0,0.0,0.0,0.0
Malaga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3477.3168,2981.8206,0.0,2082.0125,0.0,3311.2627,0.0,0.0,0.0,0.0,0.0,0.0,3070.4048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2760.2349,0.0,0.0,821.389,0.0,0.0,0.0,0.0,0.0,0.0
Megara Oil Terminal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1137.47,1236.6048,0.0,661.4747,0.0,1027.614,0.0,0.0,0.0,0.0,0.0,0.0,524.901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1015.0192,0.0,0.0,2093.0943,0.0,0.0,0.0,0.0,0.0,0.0
Mersin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,706.1968,2342.2166,0.0,1767.0865,0.0,772.0918,0.0,0.0,0.0,0.0,0.0,0.0,1278.6238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2120.6309,0.0,0.0,3148.836,0.0,0.0,0.0,0.0,0.0,0.0
Monfalcone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2444.7734,193.5541,0.0,1017.789,0.0,2319.6483,0.0,0.0,0.0,0.0,0.0,0.0,1832.2043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,386.8465,0.0,0.0,2600.1096,0.0,0.0,0.0,0.0,0.0,0.0
Napoli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2100.9271,1497.1729,0.0,597.3648,0.0,1944.3001,0.0,0.0,0.0,0.0,0.0,0.0,1585.7571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1275.5873,0.0,0.0,1127.6754,0.0,0.0,0.0,0.0,0.0,0.0
Nemrut Limani Bay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1141.3645,1629.7992,0.0,1054.6691,0.0,1046.9994,0.0,0.0,0.0,0.0,0.0,0.0,345.5464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1408.2136,0.0,0.0,2486.2887,0.0,0.0,0.0,0.0,0.0,0.0
Palma De Mallorca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2911.3533,2392.2731,0.0,1492.4649,0.0,2745.2992,0.0,0.0,0.0,0.0,0.0,0.0,2480.8572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2170.6874,0.0,0.0,296.3615,0.0,0.0,0.0,0.0,0.0,0.0
Port-La-Nouvelle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3012.0891,2408.3349,0.0,1508.5268,0.0,2855.4621,0.0,0.0,0.0,0.0,0.0,0.0,2496.9191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2186.7493,0.0,0.0,368.1564,0.0,0.0,0.0,0.0,0.0,0.0
