pollutantCode,Facility_INSPIRE_ID,parentCompanyName,nameOfFeature,countryCode,NUTSRegionSourceCode,NUTSRegionSourceName,city,pointGeometryLat,pointGeometryLon,mainActivityCode,mainActivityName,reportingYear,totalPollutantQuantityKg,methodCode,methodName,rn,emissions_tco2,geometry
CO2,IT.CAED/960111001.FACILITY,Sonatrach Raffineria Italiana S.r.l. con socio unico,Sonatrach Raffineria Italiana-Raffineria di Augusta,IT,ITG19,Siracusa,AUGUSTA,37.2216,15.1905,1(a),Mineral oil and gas refineries,2023,2034384489,C,Calculated: calculation method used,1,2034384.489,POINT (15.1905 37.2216)
CO2,IT.CAED/941002002.FACILITY,SPER S.p.a.,SPER S.p.a. Enna,IT,ITG16,Enna,Enna,37.5425,14.441111,1(c),Thermal power stations and other combustion installations,2023,124029800,M,Measured: analytical method used,1,124029.8,POINT (14.441111 37.5425)
CO2,IT.CAED/980571002.FACILITY,Raffineria di Milazzo S.C.p.A.,Termica Milazzo S.r.l.,IT,ITG13,Messina,MILAZZO,38.1977,15.268,1(c),Thermal power stations and other combustion installations,2023,344103000,C,Calculated: calculation method used,1,344103,POINT (15.268 38.1977)
CO2,IT.CAED/980441001.FACILITY,A2A Energiefuture S.p.A.,CENTRALE TERMOELETTRICA DI SAN FILIPPO DEL MELA,IT,ITG13,Messina,SAN FILIPPO DEL MELA,38.2019,15.2808,1(c),Thermal power stations and other combustion installations,2023,1050289989,C,Calculated: calculation method used,1,1050289.989,POINT (15.2808 38.2019)
CO2,IT.CAED/980571001.FACILITY,ENI - Kupit,Raffineria di Milazzo S.C.p.A.,IT,ITG13,Messina,MILAZZO,38.2027,15.2723,1(a),Mineral oil and gas refineries,2023,2254404000,C,Calculated: calculation method used,1,2254404,POINT (15.2723 38.2027)
CO2,IT.CAED/981491001.FACILITY,SNAM Rete Gas,Centrale compressione gas di Messina,IT,ITG13,Messina,MESSINA,38.274,15.6048,1(c),Thermal power stations and other combustion installations,2023,151061000,C,Calculated: calculation method used,1,151061,POINT (15.6048 38.274)
CO2,IT.CAED/890161001.FACILITY,Rizziconi Energia S.p.A.,Rizziconi Energia S.p.A.,IT,ITF65,Reggio di Calabria,RIZZICONI,38.4408,15.9735,1(c),Thermal power stations and other combustion installations,2023,417071000,M,Measured: analytical method used,1,417071,POINT (15.9735 38.4408)
CO2,IT.CAED/880501001.FACILITY,Edison S.p.A.,CENTRALE TERMOELETTRICA DI SIMERI CRICHI,IT,ITF63,Catanzaro,SIMERI CRICHI,38.875,16.6566,1(c),Thermal power stations and other combustion installations,2023,1497053000,C,Calculated: calculation method used,1,1497053,POINT (16.6566 38.875)
CO2,IT.CAED/880442001.FACILITY,CAL.ME. Spa,CAL.ME. Spa,IT,ITF63,Catanzaro,Marcellinara,38.9141,16.4489,3(c),"Installations for the production of cement clinker in rotary kilns, lime in rotary kilns, cement or lime in other furnaces. Note to reporters, use Level 3 activity e.g. 3(c)(i), in preference to 3(c). Level 2 activity class (i.e. 3(c)) only to be used where Level 3 is not available.",2023,164080580,C,Calculated: calculation method used,1,164080.58,POINT (16.4489 38.9141)
CO2,IT.CAED/870421001.FACILITY,Edison S.p.A.,CENTRALE TERMOELETTRICA DI ALTOMONTE,IT,ITF61,Cosenza,ALTOMONTE,39.7111,16.2147,1(c),Thermal power stations and other combustion installations,2023,986234000,C,Calculated: calculation method used,1,986234,POINT (16.2147 39.7111)
