"";"lon";"lat";"alt"
"Yüreğir Cement Plant";35.4522289335493;36.9643325445559;10
"ZEPHIRE";5.93276;43.13648;10
"İDÇ Izdemir Aliaga steel plant";26.9290116293903;38.7400416920799;10
"West Delta Deep Marine Development Lease";30.347;31.9725;10
"El-Temsah Development Lease";32.382;31.618;10
"TarraCO2";1.3583;40.717;10
"Prinos";24.4553683886739;40.8020352968049;10
"Kate";15.339032825382109;43.60686462359387;10
"Dugi Otok_Miocene Sandstone";15.211345279439891;43.60155363112335;10
"Ravenna";12.564;44.387;10
"Jonio";17.181692;39.114236;10
"Alicante";-0.483333;38.333333;10
"Ancona";13.494;43.629;10
"Ashdod";34.65;31.816667;10
"Augusta";15.233333;37.216667;10
"Banghazi";20.05;32.116667;10
"Botas";35.933333;36.883333;10
"Bur Sa'id";32.3;31.266667;10
"Casalborsetti";12.264553;44.553931;10
"Civitavecchia";11.771;42.102;10
"Crotone";17.136;39.078;10
"Darnah";22.65;32.766667;10
"Fos";4.883333;43.416667;10
"Genova";8.922;44.398;10
"Izmir";27.133333;38.433333;10
"Kavala";24.4;40.933333;10
"Khoms";14.25;32.666667;10
"Koromacno";14.1185;44.9673;10
"Kusadasi";27.25;37.866667;10
"Malaga";-4.416667;36.716667;10
"Megara Oil Terminal";23.4;37.966667;10
"Mersin";34.633333;36.8;10
"Monfalcone";13.55;45.783333;10
"Napoli";14.275;40.833;10
"Nemrut Limani Bay";26.916667;38.766667;10
"Palma De Mallorca";2.633333;39.566667;10
"Port-La-Nouvelle";3.066667;43.016667;10
"Porto Di Barletta";16.292;41.334;10
"Porto Di Lido-Venezia";12.433333;45.416667;10
"Porto Di Palermo";13.38;38.119;10
"Porto Romano";19.41666667;41.38333333;10
"Pozzallo";14.85;36.716667;10
"Sagunto";-0.216667;39.65;10
"Sibenik";15.883333;43.733333;10
"Taranto";17.2;40.466667;10
"Tarragona";1.233333;41.1;10
"Tartus";35.866667;34.9;10
"Tasucu";33.883333;36.316667;10
"Thessaloniki";22.933333;40.633333;10
"Toulon";5.916667;43.1;10
"Trieste";13.802586;45.611255;10
"Egyptian LNG Terminal";30.3186466;31.3490481;10
"AkcanSa";26.156554;39.879589;10
